time,ACCU_VOLTAGE___min,SHUNT___current
0.0,0.0,0.0
0.004,0.03136,0.0
0.008,0.06272,0.0
0.012,0.09408,0.0
0.016,0.12544,0.0
0.02,0.1568,0.0
0.024,0.18816,0.0
0.028,0.21952,0.0
0.032,0.25088,0.0
0.036,0.28224,0.0
0.04,0.3136,0.0
0.044,0.34496,0.0
0.048,0.37632,0.0
0.052,0.40768,0.0
0.056,0.43904,0.0
0.06,0.4704,0.0
0.064,0.50176,0.0
0.068,0.53312,0.0
0.072,0.56448,0.0
0.076,0.59584,0.0
0.08,0.6272,0.0
0.084,0.65856,0.0
0.088,0.68992,0.0
0.092,0.72128,0.0
0.096,0.75264,0.0
0.1,0.784,0.0
0.104,0.81536,0.0
0.108,0.84672,0.0
0.112,0.87808,0.0
0.116,0.90944,0.0
0.12,0.9408,0.0
0.124,0.97216,0.0
0.128,1.00352,0.0
0.132,1.03488,0.0
0.136,1.06624,0.0
0.14,1.0976,0.0
0.144,1.12896,0.0
0.148,1.16032,0.0
0.152,1.19168,0.0
0.156,1.22304,0.0
0.16,1.2544,0.0
0.164,1.28576,-0.18
0.168,1.31712,-2.28
0.172,1.34848,-7.74
0.176,1.37984,-0.24
0.18,1.4112,-1.7
0.184,1.44256,0.76
0.188,1.47392,-2.18
0.192,1.50528,-5.0
0.196,1.53664,-4.84
0.2,1.568,3.0
0.204,1.59936,0.06
0.208,1.63072,7.68
0.212,1.66208,-1.4
0.216,1.69344,0.76
0.22,1.7248,-4.4
0.224,1.75616,9.96
0.228,1.78752,-8.64
0.232,1.81888,-1.08
0.236,1.85024,5.1
0.24,1.8816,2.8
0.244,1.91296,-2.68
0.248,1.94432,2.84
0.252,1.97568,8.7
0.256,2.00704,2.08
0.26,2.0384,-0.3
0.264,2.06976,-0.68
0.268,2.10112,0.98
0.272,2.13248,2.64
0.276,2.16384,3.0
0.28,2.1952,4.8
0.284,2.22656,1.36
0.288,2.25792,-4.24
0.292,2.28928,-2.76
0.296,2.32064,4.68
0.3,2.352,1.5
0.304,2.38336,-2.16
0.308,2.41472,1.54
0.312,2.44608,-3.4
0.316,2.47744,-4.8
0.32,2.5088,1.8
0.324,2.54016,0.72
0.328,2.57152,-1.92
0.332,2.60288,0.68
0.336,2.63424,1.68
0.34,2.6656,1.3
0.344,2.69696,1.44
0.348,2.72832,-0.52
0.352,2.75968,-3.44
0.356,2.79104,-4.7
0.36,2.8224,6.6
0.364,2.85376,3.02
0.368,2.88512,-6.16
0.372,2.91648,-5.32
0.376,2.94784,5.0
0.38,2.9792,4.3
0.384,3.01056,-2.0
0.388,3.04192,-0.92
0.392,3.07328,15.48
0.396,3.10464,2.82
0.4,3.136,-6.0
0.404,3.16736,-4.04
0.408,3.19872,-4.0
0.412,3.23008,-0.24
0.416,3.26144,0.0
0.42,3.2928,-3.6
0.424,3.32416,-2.24
0.428,3.35552,9.18
0.432,3.38688,0.92
0.436,3.41824,-0.18
0.44,3.4496,4.0
0.444,3.48096,-2.02
0.448,3.51232,2.84
0.452,3.54368,4.26
0.456,3.57504,1.84
0.46,3.6064,-5.3
0.464,3.63776,0.16
0.468,3.66912,0.7
0.472,3.70048,-1.64
0.476,3.73184,-1.38
0.48,3.7632,-1.0
0.484,3.79456,2.48
0.488,3.82592,1.64
0.492,3.85728,-1.0
0.496,3.88864,1.6
0.5,3.92,1.0
0.504,3.92,1.84
0.508,3.92,0.02
0.512,3.92,-5.68
0.516,3.92,-1.48
0.52,3.92,1.2
0.524,3.92,-0.76
0.528,3.92,-1.28
0.532,3.92,0.0
0.536,3.92,-0.64
0.54,3.92,-1.1
0.544,3.92,0.72
0.548,3.92,-1.3
0.552,3.92,-5.0
0.556,3.92,-3.68
0.56,3.92,1.6
0.564,3.92,3.28
0.568,3.92,-1.28
0.572,3.92,-7.16
0.576,3.92,-2.0
0.58,3.92,-3.1
0.584,3.92,-11.8
0.588,3.92,1.64
0.592,3.92,-3.32
0.596,3.92,12.92
0.6,3.92,9.0
0.604,3.92,9.0
0.608,3.92,-0.6
0.612,3.92,5.58
0.616,3.92,2.32
0.62,3.92,2.0
0.624,3.92,2.0
0.628,3.92,4.58
0.632,3.92,-1.72
0.636,3.92,-5.46
0.64,3.92,2.0
0.644,3.92,4.0
0.648,3.92,-2.08
0.652,3.92,-6.22
0.656,3.92,10.28
0.66,3.92,7.9
0.664,3.92,4.0
0.668,3.92,7.96
0.672,3.92,2.32
0.676,3.92,-3.24
0.68,3.92,-1.6
0.684,3.92,1.16
0.688,3.92,1.44
0.692,3.92,5.32
0.696,3.92,7.96
0.7,3.92,4.5
0.704,3.92,7.28
0.708,3.92,5.64
0.712,3.92,0.96
0.716,3.92,2.22
0.72,3.92,1.8
0.724,3.92,5.58
0.728,3.92,-0.36
0.732,3.92,-0.66
0.736,3.92,0.0
0.74,3.92,0.3
0.744,3.92,1.56
0.748,3.92,1.7
0.752,3.92,0.16
0.756,3.92,5.68
0.76,3.92,0.2
0.764,3.92,-1.92
0.768,3.92,2.68
0.772,3.92,0.86
0.776,3.92,0.48
0.78,3.92,3.6
0.784,3.92,-0.08
0.788,3.92,-1.3
0.792,3.92,-5.72
0.796,3.92,1.2
0.8,3.92,11.0
0.804,3.92,6.1
0.808,3.92,6.96
0.812,3.92,1.36
0.816,3.92,7.44
0.82,3.92,2.6
0.824,3.92,-4.16
0.828,3.92,5.32
0.832,3.92,-3.92
0.836,3.92,-2.72
0.84,3.92,-6.8
0.844,3.92,1.36
0.848,3.92,4.0
0.852,3.92,6.96
0.856,3.92,-1.36
0.86,3.92,2.7
0.864,3.92,-0.8
0.868,3.92,-2.02
0.872,3.92,-0.36
0.876,3.92,-1.86
0.88,3.92,-3.0
0.884,3.92,-1.26
0.888,3.92,-0.56
0.892,3.92,-1.0
0.896,3.92,-0.9896
0.9,3.92,-0.97
0.904,3.92,-0.9504
0.908,3.92,-0.9308
0.912,3.92,-0.9112
0.916,3.92,-0.8916
0.92,3.92,-0.872
0.924,3.92,-0.8524
0.928,3.92,-0.8328
0.932,3.92,-0.8132
0.936,3.92,-0.7936
0.94,3.92,-0.774
0.944,3.92,-0.7544
0.948,3.92,-0.7348
0.952,3.92,-0.7152
0.956,3.92,-0.6956
0.96,3.92,-0.676
0.964,3.92,-0.6564
0.968,3.92,-0.6368
0.972,3.92,-0.6172
0.976,3.92,-0.5976
0.98,3.92,-0.578
0.984,3.92,-0.5584
0.988,3.92,-0.5388
0.992,3.92,-0.5192
0.996,3.92,-0.4996
1.0,3.92,-0.48
1.004,3.92,-0.4604
1.008,3.92,-0.4408
1.012,3.92,-0.4212
1.016,3.92,-0.4016
1.02,3.92,-0.382
1.024,3.92,-0.3624
1.028,3.92,-0.3428
1.032,3.92,-0.3232
1.036,3.92,-0.3036
1.04,3.92,-0.06
1.044,3.92,0.78
1.048,3.92,0.24
1.052,3.92,4.44
1.056,3.92,2.4
1.06,3.92,-1.1
1.064,3.92,-0.64
1.068,3.92,0.0
1.072,3.92,-1.92
1.076,3.92,-1.76
1.08,3.92,-4.0
1.084,3.92,2.12
1.088,3.92,6.88
1.092,3.92,2.76
1.096,3.92,-4.68
1.1,3.92,-5.0
1.104,3.92,-3.4
1.108,3.92,0.44
1.112,3.92,2.28
1.116,3.92,-5.0
1.12,3.92,-2.2
1.124,3.92,3.14
1.128,3.92,2.12
1.132,3.92,-1.98
1.136,3.92,1.28
1.14,3.92,2.2
1.144,3.92,-1.16
1.148,3.92,0.74
1.152,3.92,0.0
1.156,3.92,-1.1
1.16,3.92,-2.2
1.164,3.92,6.48
1.168,3.92,-4.52
1.172,3.92,-1.16
1.176,3.92,4.36
1.18,3.92,6.7
1.184,3.92,4.08
1.188,3.92,5.06
1.192,3.92,5.64
1.196,3.92,-3.06
1.2,3.92,-6.0
1.204,3.92,-2.08
1.208,3.92,-2.0
1.212,3.92,-4.82
1.216,3.92,-2.24
1.22,3.92,6.1
1.224,3.92,8.76
1.228,3.92,4.7
1.232,3.92,6.52
1.236,3.92,2.9
1.24,3.92,-2.8
1.244,3.92,-5.56
1.248,3.92,3.88
1.252,3.92,5.52
1.256,3.92,4.28
1.26,3.92,-3.7
1.264,3.92,-7.68
1.268,3.92,0.58
1.272,3.92,-3.32
1.276,3.92,-0.56
1.28,3.92,6.4
1.284,3.92,1.62
1.288,3.92,-1.32
1.292,3.92,2.16
1.296,3.92,4.0
1.3,3.92,2.0
1.304,3.92,-0.48
1.308,3.92,-0.08
1.312,3.92,1.44
1.316,3.92,-0.1
1.32,3.92,-0.6
1.324,3.92,3.76
1.328,3.92,4.64
1.332,3.92,2.3
1.336,3.92,-3.56
1.34,3.92,-6.6
1.344,3.92,-3.52
1.348,3.92,-4.02
1.352,3.92,8.68
1.356,3.92,-3.9
1.36,3.92,-1.0
1.364,3.92,-1.94
1.368,3.92,9.92
1.372,3.92,-1.0
1.376,3.92,-1.72
1.38,3.92,-6.9
1.384,3.92,-5.44
1.388,3.92,0.7
1.392,3.92,-4.08
1.396,3.92,-6.04
1.4,3.92,-8.0
1.404,3.92,-8.0
1.408,3.92,1.6
1.412,3.92,-10.22
1.416,3.92,0.04
1.42,3.92,1.0
1.424,3.92,1.88
1.428,3.92,0.28
1.432,3.92,5.04
1.436,3.92,4.36
1.44,3.92,-0.8
1.444,3.92,0.34
1.448,3.92,3.28
1.452,3.92,1.04
1.456,3.92,0.0
1.46,3.92,-0.7
1.464,3.92,-5.08
1.468,3.92,4.88
1.472,3.92,1.4
1.476,3.92,-2.76
1.48,3.92,-2.0
1.484,3.92,-3.16
1.488,3.92,-7.36
1.492,3.92,-1.9
1.496,3.92,6.04
1.5,3.92,7.5
1.504,3.92,3.2
1.508,3.92,-2.0
1.512,3.92,0.64
1.516,3.92,3.16
1.52,3.92,0.8
1.524,3.92,-1.38
1.528,3.92,-0.56
1.532,3.92,1.66
1.536,3.92,1.0
1.54,3.92,-0.8
1.544,3.92,-3.6
1.548,3.92,0.0
1.552,3.92,0.0
1.556,3.92,1.32
1.56,3.92,5.6
1.564,3.92,4.0
1.568,3.92,3.04
1.572,3.92,-0.46
1.576,3.92,7.92
1.58,3.92,-0.1
1.584,3.92,-1.8
1.588,3.92,-9.86
1.592,3.92,7.72
1.596,3.92,0.96
1.6,3.92,-1.0
1.604,3.92,6.84
1.608,3.92,7.96
1.612,3.92,-3.28
1.616,3.92,-5.84
1.62,3.92,-6.0
1.624,3.92,-0.72
1.628,3.92,-8.6
1.632,3.92,3.44
1.636,3.92,-3.84
1.64,3.92,-2.8
1.644,3.92,1.12
1.648,3.92,3.52
1.652,3.92,-1.18
1.656,3.92,5.64
1.66,3.92,6.9
1.664,3.92,-0.8
1.668,3.92,-0.04
1.672,3.92,1.36
1.676,3.92,0.38
1.68,3.92,6.0
1.684,3.92,1.3
1.688,3.92,-2.2
1.692,3.92,-0.54
1.696,3.92,-3.08
1.7,3.92,-3.5
1.704,3.92,1.36
1.708,3.92,0.86
1.712,3.92,0.4
1.716,3.92,4.32
1.72,3.92,1.2
1.724,3.92,1.9
1.728,3.92,6.08
1.732,3.92,9.36
1.736,3.92,8.16
1.74,3.92,2.1
1.744,3.92,7.0
1.748,3.92,5.7
1.752,3.92,2.0
1.756,3.92,-0.86
1.76,3.92,-7.4
1.764,3.92,7.0
1.768,3.92,5.88
1.772,3.92,0.56
1.776,3.92,4.36
1.78,3.92,6.5
1.784,3.92,2.48
1.788,3.92,7.52
1.792,3.92,0.12
1.796,3.92,3.02
1.8,3.92,4.0
1.804,3.92,8.9
1.808,3.92,-3.48
1.812,3.92,1.64
1.816,3.92,-0.76
1.82,3.92,-0.1
1.824,3.92,0.0
1.828,3.92,0.86
1.832,3.92,0.16
1.836,3.92,1.64
1.84,3.92,-0.4
1.844,3.92,-2.56
1.848,3.92,0.04
1.852,3.92,1.0
1.856,3.92,0.28
1.86,3.92,2.8
1.864,3.92,-0.08
1.868,3.92,5.92
1.872,3.92,4.88
1.876,3.92,0.14
1.88,3.92,-3.4
1.884,3.92,-0.94
1.888,3.92,0.88
1.892,3.92,3.78
1.896,3.92,4.4
1.9,3.92,-1.5
1.904,3.92,-2.6
1.908,3.92,-0.46
1.912,3.92,-2.32
1.916,3.92,-1.48
1.92,3.92,2.0
1.924,3.92,-0.28
1.928,3.92,-0.04
1.932,3.92,4.28
1.936,3.92,-2.92
1.94,3.92,-3.4
1.944,3.92,1.36
1.948,3.92,-5.66
1.952,3.92,-0.44
1.956,3.92,-3.46
1.96,3.92,2.6
1.964,3.92,4.1
1.968,3.92,-1.76
1.972,3.92,-9.88
1.976,3.92,-3.0
1.98,3.92,-2.1
1.984,3.92,5.2
1.988,3.92,-3.22
1.992,3.92,9.04
1.996,3.92,9.7
2.0,3.92,-5.0
2.004,3.92,-2.06
2.008,3.92,5.68
2.012,3.92,-0.58
2.016,3.92,-4.68
2.02,3.92,4.9
2.024,3.92,2.48
2.028,3.92,0.28
2.032,3.92,-0.84
2.036,3.92,-0.18
2.04,3.92,0.0
2.044,3.92,0.0
2.048,3.92,0.76
2.052,3.92,1.0
2.056,3.92,-4.76
2.06,3.92,-3.5
2.064,3.92,6.84
2.068,3.92,10.34
2.072,3.92,-0.88
2.076,3.92,-0.18
2.08,3.92,2.2
2.084,3.92,0.42
2.088,3.92,-2.8
2.092,3.92,-1.76
2.096,3.92,6.2
2.1,3.92,6.0
2.104,3.92,1.0
2.108,3.92,2.84
2.112,3.92,2.8
2.116,3.92,-0.84
2.12,3.92,-0.8
2.124,3.92,-1.28
2.128,3.92,-1.04
2.132,3.92,3.62
2.136,3.92,1.88
2.14,3.92,5.3
2.144,3.92,0.4
2.148,3.92,3.48
2.152,3.92,2.48
2.156,3.92,4.44
2.16,3.92,5.8
2.164,3.92,3.92
2.168,3.92,-1.0
2.172,3.92,-0.58
2.176,3.92,2.72
2.18,3.92,7.7
2.184,3.92,5.0
2.188,3.92,4.88
2.192,3.92,2.88
2.196,3.92,0.0
2.2,3.92,0.0
2.204,3.92,-1.96
2.208,3.92,-0.08
2.212,3.92,8.46
2.216,3.92,1.64
2.22,3.92,7.3
2.224,3.92,3.6
2.228,3.92,-5.6
2.232,3.92,-4.48
2.236,3.92,5.02
2.24,3.92,3.0
2.244,3.92,2.0
2.248,3.92,0.48
2.252,3.92,2.96
2.256,3.92,1.12
2.26,3.92,-2.1
2.264,3.92,3.8
2.268,3.92,2.38
2.272,3.92,1.28
2.276,3.92,5.72
2.28,3.92,0.2
2.284,3.92,-2.68
2.288,3.92,7.96
2.292,3.92,7.44
2.296,3.92,-3.68
2.3,3.92,-3.5
2.304,3.92,2.92
2.308,3.92,5.46
2.312,3.92,3.36
2.316,3.92,0.84
2.32,3.92,1.2
2.324,3.92,3.04
2.328,3.92,1.52
2.332,3.92,-5.58
2.336,3.92,2.04
2.34,3.92,1.2
2.344,3.92,4.28
2.348,3.92,3.7
2.352,3.92,-0.72
2.356,3.92,-2.34
2.36,3.92,0.6
2.364,3.92,3.18
2.368,3.92,5.92
